asv_name,sample,reads,nest_id,control_type
ASV_7397,a56_mul1806a1_11,9,a56,NA
ASV_7397,a83_mul1806a1_12,0,a83,NA
ASV_7397,a91_mul1806a1_8,0,a91,NA
ASV_7397,a98_mul1806a1_9,0,a98,NA
ASV_7397,dogsample1_mul1806a1_25,0,NA,dogsample
ASV_7397,e105_mul1806a1_14,0,e105,NA
ASV_7397,e110_mul1806a1_17,0,e110,NA
ASV_7397,e117_mul1806a1_16,0,e117,NA
ASV_7397,e17_mul1806a1_18,0,e17,NA
ASV_7397,e25_mul1806a1_15,0,e25,NA
ASV_7397,e53_mul1806a1_20,0,e53,NA
ASV_7397,e62_mul1806a1_19,0,e62,NA
ASV_7397,j16_mul1806a1_5,0,j16,NA
ASV_7397,j18_mul1806a1_2,0,j18,NA
ASV_7397,j21_mul1806a1_4,15,j21,NA
ASV_7397,j23_mul1806a1_3,0,j23,NA
ASV_7397,j27_mul1806a1_6,0,j27,NA
ASV_7397,j46_mul1806a1_7,28,j46,NA
ASV_7397,j64_mul1806a1_1,0,j64,NA
ASV_7397,water1_mul1806a1_26,0,NA,water
ASV_7397,dogsample4_cou1805a2_27,0,NA,dogsample
ASV_7397,water4_cou1805a2_28,0,NA,water
ASV_7428,x0035_mul1806a1_24,0,NA,cloacal
ASV_7428,x0041_mul1806a1_22,0,NA,cloacal
ASV_7428,x0045_mul1806a1_23,0,NA,cloacal
ASV_7428,x0064_mul1806a1_21,0,NA,cloacal
ASV_7428,a122_mul1806a1_10,0,a122,NA
ASV_7428,a43_mul1806a1_13,0,a43,NA
ASV_7428,a56_mul1806a1_11,0,a56,NA
ASV_7428,a83_mul1806a1_12,0,a83,NA
ASV_7428,a91_mul1806a1_8,0,a91,NA
ASV_7428,a98_mul1806a1_9,0,a98,NA
ASV_7428,dogsample1_mul1806a1_25,0,NA,dogsample
ASV_7428,e105_mul1806a1_14,0,e105,NA
ASV_7428,e110_mul1806a1_17,0,e110,NA
ASV_7428,e117_mul1806a1_16,0,e117,NA
ASV_7428,e17_mul1806a1_18,35,e17,NA
ASV_7428,e25_mul1806a1_15,0,e25,NA
ASV_7428,e53_mul1806a1_20,0,e53,NA
ASV_7428,e62_mul1806a1_19,0,e62,NA
ASV_7428,j16_mul1806a1_5,8,j16,NA
ASV_7428,j18_mul1806a1_2,0,j18,NA
ASV_7428,j21_mul1806a1_4,28,j21,NA
ASV_7428,j23_mul1806a1_3,0,j23,NA
ASV_7428,j27_mul1806a1_6,0,j27,NA
ASV_7428,j46_mul1806a1_7,52,j46,NA
ASV_7428,j64_mul1806a1_1,0,j64,NA
ASV_7428,water1_mul1806a1_26,0,NA,water
ASV_7428,dogsample4_cou1805a2_27,0,NA,dogsample
ASV_7428,water4_cou1805a2_28,0,NA,water
ASV_7496,x0035_mul1806a1_24,0,NA,cloacal
ASV_7496,x0041_mul1806a1_22,0,NA,cloacal
ASV_7496,x0045_mul1806a1_23,0,NA,cloacal
ASV_7496,x0064_mul1806a1_21,0,NA,cloacal
ASV_7496,a122_mul1806a1_10,0,a122,NA
ASV_7496,a43_mul1806a1_13,0,a43,NA
ASV_7496,a56_mul1806a1_11,0,a56,NA
ASV_7496,a83_mul1806a1_12,49,a83,NA
ASV_7496,a91_mul1806a1_8,0,a91,NA
ASV_7496,a98_mul1806a1_9,0,a98,NA
ASV_7496,dogsample1_mul1806a1_25,0,NA,dogsample
ASV_7496,e105_mul1806a1_14,7,e105,NA
ASV_7496,e110_mul1806a1_17,6,e110,NA
ASV_7496,e117_mul1806a1_16,0,e117,NA
ASV_7496,e17_mul1806a1_18,9,e17,NA
ASV_7496,e25_mul1806a1_15,0,e25,NA
ASV_7496,e53_mul1806a1_20,30,e53,NA
ASV_7496,e62_mul1806a1_19,0,e62,NA
ASV_7496,j16_mul1806a1_5,28,j16,NA
ASV_7496,j18_mul1806a1_2,0,j18,NA
ASV_7496,j21_mul1806a1_4,0,j21,NA
ASV_7496,j23_mul1806a1_3,0,j23,NA
ASV_7496,j27_mul1806a1_6,0,j27,NA
ASV_7496,j46_mul1806a1_7,0,j46,NA
ASV_7496,j64_mul1806a1_1,0,j64,NA
ASV_7496,water1_mul1806a1_26,0,NA,water
ASV_7496,dogsample4_cou1805a2_27,0,NA,dogsample
ASV_7496,water4_cou1805a2_28,0,NA,water
ASV_7580,x0035_mul1806a1_24,0,NA,cloacal
ASV_7580,x0041_mul1806a1_22,0,NA,cloacal
ASV_7580,x0045_mul1806a1_23,0,NA,cloacal
ASV_7580,x0064_mul1806a1_21,0,NA,cloacal
ASV_7580,a122_mul1806a1_10,0,a122,NA
ASV_7580,a43_mul1806a1_13,0,a43,NA
ASV_7580,a56_mul1806a1_11,88,a56,NA
ASV_7580,a83_mul1806a1_12,25,a83,NA
ASV_7580,a91_mul1806a1_8,0,a91,NA
ASV_7580,a98_mul1806a1_9,0,a98,NA
ASV_7580,dogsample1_mul1806a1_25,0,NA,dogsample
ASV_7580,e105_mul1806a1_14,14,e105,NA
ASV_7580,e110_mul1806a1_17,0,e110,NA
ASV_7580,e117_mul1806a1_16,0,e117,NA
ASV_7580,e17_mul1806a1_18,0,e17,NA
ASV_7580,e25_mul1806a1_15,0,e25,NA
ASV_7580,e53_mul1806a1_20,0,e53,NA
ASV_7580,e62_mul1806a1_19,0,e62,NA
ASV_7580,j16_mul1806a1_5,0,j16,NA
ASV_7580,j18_mul1806a1_2,0,j18,NA
ASV_7580,j21_mul1806a1_4,0,j21,NA
ASV_7580,j23_mul1806a1_3,15,j23,NA
ASV_7580,j27_mul1806a1_6,0,j27,NA
ASV_7580,j46_mul1806a1_7,0,j46,NA
ASV_7580,j64_mul1806a1_1,0,j64,NA
ASV_7580,water1_mul1806a1_26,0,NA,water
ASV_7580,dogsample4_cou1805a2_27,0,NA,dogsample
ASV_7580,water4_cou1805a2_28,0,NA,water
ASV_7627,x0035_mul1806a1_24,14,NA,cloacal
ASV_7627,x0041_mul1806a1_22,0,NA,cloacal
ASV_7627,x0045_mul1806a1_23,0,NA,cloacal
ASV_7627,x0064_mul1806a1_21,16,NA,cloacal
ASV_7627,a122_mul1806a1_10,0,a122,NA
ASV_7627,a43_mul1806a1_13,0,a43,NA
ASV_7627,a56_mul1806a1_11,0,a56,NA
ASV_7627,a83_mul1806a1_12,0,a83,NA
ASV_7627,a91_mul1806a1_8,0,a91,NA
ASV_7627,a98_mul1806a1_9,0,a98,NA
ASV_7627,dogsample1_mul1806a1_25,0,NA,dogsample
ASV_7627,e105_mul1806a1_14,15,e105,NA
ASV_7627,e110_mul1806a1_17,24,e110,NA
ASV_7627,e117_mul1806a1_16,0,e117,NA
ASV_7627,e17_mul1806a1_18,0,e17,NA
ASV_7627,e25_mul1806a1_15,32,e25,NA
ASV_7627,e53_mul1806a1_20,0,e53,NA
ASV_7627,e62_mul1806a1_19,0,e62,NA
ASV_7627,j16_mul1806a1_5,0,j16,NA
ASV_7627,j18_mul1806a1_2,0,j18,NA
ASV_7627,j21_mul1806a1_4,0,j21,NA
ASV_7627,j23_mul1806a1_3,0,j23,NA
ASV_7627,j27_mul1806a1_6,0,j27,NA
ASV_7627,j46_mul1806a1_7,49,j46,NA
ASV_7627,j64_mul1806a1_1,0,j64,NA
ASV_7627,water1_mul1806a1_26,0,NA,water
ASV_7627,dogsample4_cou1805a2_27,0,NA,dogsample
ASV_7627,water4_cou1805a2_28,0,NA,water
ASV_7645,x0035_mul1806a1_24,0,NA,cloacal
ASV_7645,x0041_mul1806a1_22,0,NA,cloacal
ASV_7645,x0045_mul1806a1_23,0,NA,cloacal
ASV_7645,x0064_mul1806a1_21,0,NA,cloacal
ASV_7645,a122_mul1806a1_10,0,a122,NA
ASV_7645,a43_mul1806a1_13,0,a43,NA
ASV_7645,a56_mul1806a1_11,0,a56,NA
ASV_7645,a83_mul1806a1_12,0,a83,NA
ASV_7645,a91_mul1806a1_8,0,a91,NA
ASV_7645,a98_mul1806a1_9,0,a98,NA
ASV_7645,dogsample1_mul1806a1_25,0,NA,dogsample
ASV_7645,e105_mul1806a1_14,0,e105,NA
ASV_7645,e110_mul1806a1_17,40,e110,NA
ASV_7645,e117_mul1806a1_16,0,e117,NA
ASV_7645,e17_mul1806a1_18,0,e17,NA
ASV_7645,e25_mul1806a1_15,0,e25,NA
ASV_7645,e53_mul1806a1_20,0,e53,NA
ASV_7645,e62_mul1806a1_19,0,e62,NA
ASV_7645,j16_mul1806a1_5,31,j16,NA
ASV_7645,j18_mul1806a1_2,0,j18,NA
ASV_7645,j21_mul1806a1_4,28,j21,NA
ASV_7645,j23_mul1806a1_3,0,j23,NA
ASV_7645,j27_mul1806a1_6,0,j27,NA
ASV_7645,j46_mul1806a1_7,0,j46,NA
ASV_7645,j64_mul1806a1_1,53,j64,NA
ASV_7645,water1_mul1806a1_26,0,NA,water
ASV_7645,dogsample4_cou1805a2_27,0,NA,dogsample
ASV_7645,water4_cou1805a2_28,0,NA,water
ASV_7658,x0035_mul1806a1_24,0,NA,cloacal
ASV_7658,x0041_mul1806a1_22,0,NA,cloacal
ASV_7658,x0045_mul1806a1_23,0,NA,cloacal
ASV_7658,x0064_mul1806a1_21,0,NA,cloacal
ASV_7658,a122_mul1806a1_10,0,a122,NA
ASV_7658,a43_mul1806a1_13,0,a43,NA
ASV_7658,a56_mul1806a1_11,0,a56,NA
ASV_7658,a83_mul1806a1_12,0,a83,NA
ASV_7658,a91_mul1806a1_8,0,a91,NA
ASV_7658,a98_mul1806a1_9,0,a98,NA
ASV_7658,dogsample1_mul1806a1_25,0,NA,dogsample
ASV_7658,e105_mul1806a1_14,0,e105,NA
ASV_7658,e110_mul1806a1_17,0,e110,NA
ASV_7658,e117_mul1806a1_16,24,e117,NA
ASV_7658,e17_mul1806a1_18,35,e17,NA
ASV_7658,e25_mul1806a1_15,54,e25,NA
ASV_7658,e53_mul1806a1_20,0,e53,NA
ASV_7658,e62_mul1806a1_19,0,e62,NA
ASV_7658,j16_mul1806a1_5,15,j16,NA
ASV_7658,j18_mul1806a1_2,0,j18,NA
ASV_7658,j21_mul1806a1_4,15,j21,NA
ASV_7658,j23_mul1806a1_3,0,j23,NA
ASV_7658,j27_mul1806a1_6,0,j27,NA
ASV_7658,j46_mul1806a1_7,0,j46,NA
ASV_7658,j64_mul1806a1_1,12,j64,NA
ASV_7658,water1_mul1806a1_26,0,NA,water
ASV_7658,dogsample4_cou1805a2_27,0,NA,dogsample
ASV_7658,water4_cou1805a2_28,0,NA,water
ASV_7672,x0035_mul1806a1_24,0,NA,cloacal
ASV_7672,x0041_mul1806a1_22,0,NA,cloacal
ASV_7672,x0045_mul1806a1_23,0,NA,cloacal
ASV_7672,x0064_mul1806a1_21,65,NA,cloacal
ASV_7672,a122_mul1806a1_10,0,a122,NA
ASV_7672,a43_mul1806a1_13,0,a43,NA
ASV_7672,a56_mul1806a1_11,30,a56,NA
ASV_7672,a83_mul1806a1_12,0,a83,NA
ASV_7672,a91_mul1806a1_8,0,a91,NA
ASV_7672,a98_mul1806a1_9,0,a98,NA
ASV_7672,dogsample1_mul1806a1_25,0,NA,dogsample
ASV_7672,e105_mul1806a1_14,22,e105,NA
ASV_7672,e110_mul1806a1_17,0,e110,NA
ASV_7672,e117_mul1806a1_16,20,e117,NA
ASV_7672,e17_mul1806a1_18,0,e17,NA
ASV_7672,e25_mul1806a1_15,0,e25,NA
ASV_7672,e53_mul1806a1_20,0,e53,NA
ASV_7672,e62_mul1806a1_19,0,e62,NA
ASV_7672,j16_mul1806a1_5,0,j16,NA
ASV_7672,j18_mul1806a1_2,0,j18,NA
ASV_7672,j21_mul1806a1_4,0,j21,NA
ASV_7672,j23_mul1806a1_3,0,j23,NA
ASV_7672,j27_mul1806a1_6,0,j27,NA
ASV_7672,j46_mul1806a1_7,20,j46,NA
ASV_7672,j64_mul1806a1_1,0,j64,NA
ASV_7672,water1_mul1806a1_26,0,NA,water
ASV_7672,dogsample4_cou1805a2_27,0,NA,dogsample
ASV_7672,water4_cou1805a2_28,0,NA,water
ASV_7694,x0035_mul1806a1_24,0,NA,cloacal
ASV_7694,x0041_mul1806a1_22,0,NA,cloacal
ASV_7694,x0045_mul1806a1_23,0,NA,cloacal
